source_sheet,campaign_day,date,content_type,design_archetype,format,page_count,theme,headline_or_hook,supporting_copy,visual_direction,cta,hashtags,filename_slug,design_notes
Phases 2-6 (D31-180),Day 171,"Jul 30, 2026",Post,hero-brand-post,1080x1080 square,1,Community Appreciation Post,Community Appreciation Post,"To every follower, every customer, every DM — THANK YOU. This community keeps us going. 💪","Collage of community moments. Warm, genuine.",Tag someone who introduced you to us!,#thankyou #community #appreciation,jul-30-2026-hero-brand-post-community-appreciation-post,80px safe area; wordmark visible; cool off-white or obsidian cadence; CTA bottom-right unless story.
Phases 2-6 (D31-180),Day 174,"Aug 02, 2026",Carousel,carousel-drop-reveal,1080x1080 carousel,5,Hair System Care: Seasonal Transition,Hair System Care: Seasonal Transition,Transitioning from summer to fall: how to adjust your care routine for changing weather.,"Seasonal care adjustment guide. Practical, timely.",Shop fall care products → link in bio,#seasonaltransition #carechange #falltips,aug-02-2026-carousel-drop-reveal-hair-system-care-seasonal-transition,80px safe area; wordmark visible; cool off-white or obsidian cadence; CTA bottom-right unless story.
Phases 2-6 (D31-180),Day 180,"Aug 08, 2026",Post,hero-brand-post,1080x1080 square,1,180-Day Campaign Celebration,180-Day Campaign Celebration,"180 DAYS ✅ What started as a daily posting challenge became a community, a movement, and a mission.  Hair Solutions Co. is here to stay. Next chapter starts now.",Major milestone graphic. Celebration. Forward-looking.,What should the next 180 days look like? Tell us! 👇,#180days #milestone #nextchapter,aug-08-2026-hero-brand-post-180-day-campaign-celebration,80px safe area; wordmark visible; cool off-white or obsidian cadence; CTA bottom-right unless story.
Stories Calendar,Monday,weekly,Story,story-quote,1080x1920 story,3 to 5,Motivation Monday,"Inspirational quote + founder insight on confidence, self-care, or hair journey",Quote share sticker,Pair with main feed post if Monday,Quote share sticker,,weekly-story-motivation-monday,Top 250px and bottom 280px safe zones; one message per frame; reserve link/poll sticker area.
Stories Calendar,Tuesday,weekly,Story,story-editorial,1080x1920 story,3 to 4,Tips Tuesday,Quick hair system care tip. One specific actionable tip per week.,Save reminder + link sticker to blog,Repurpose from educational posts,Save reminder + link sticker to blog,,weekly-story-tips-tuesday,Top 250px and bottom 280px safe zones; one message per frame; reserve link/poll sticker area.
Stories Calendar,Wednesday,weekly,Story,story-product,1080x1920 story,2 to 3,Product Spotlight,Feature one product: photo + 3 key benefits + link to shop,Link sticker to product page,Rotate through product catalogue,Link sticker to product page,,weekly-story-product-spotlight,Top 250px and bottom 280px safe zones; one message per frame; reserve link/poll sticker area.
Stories Calendar,Thursday,weekly,Story,story-editorial,1080x1920 story,5+,Community Q&A,Answer 3-5 DM questions (anonymized). Build trust through transparency.,Question box sticker for next week,Screenshot and save good Qs,Question box sticker for next week,,weekly-story-community-q-a,Top 250px and bottom 280px safe zones; one message per frame; reserve link/poll sticker area.
Stories Calendar,Friday,weekly,Story,story-editorial,1080x1920 story,4 to 6,Behind the Scenes,"Show what Vincent is working on: orders, QC, content creation, supplier calls",Poll: 'What do you want to see more?',"Authentic, casual, phone-filmed",Poll: 'What do you want to see more?',,weekly-story-behind-the-scenes,Top 250px and bottom 280px safe zones; one message per frame; reserve link/poll sticker area.
Stories Calendar,Saturday,weekly,Story,story-editorial,1080x1920 story,2 to 3,Lifestyle / Fun,"Weekend vibe: grooming routine, Rio life, personal moments (authentic)",Emoji slider: 'Rate your weekend plans',Keep it human and relatable,Emoji slider: 'Rate your weekend plans',,weekly-story-lifestyle-fun,Top 250px and bottom 280px safe zones; one message per frame; reserve link/poll sticker area.
Stories Calendar,Sunday,weekly,Story,story-sale,1080x1920 story,3 to 4,Week Preview,Tease upcoming content for the week. Build anticipation.,Countdown sticker for upcoming drops/posts,Creates 'tune in' habit,Countdown sticker for upcoming drops/posts,,weekly-story-week-preview,Top 250px and bottom 280px safe zones; one message per frame; reserve link/poll sticker area.
Stories Calendar,🆕 New Here?,weekly,Story,story-editorial,1080x1920 story,Brand,Welcome icon,Onboard new followers,,,,,weekly-story-welcome-icon,Top 250px and bottom 280px safe zones; one message per frame; reserve link/poll sticker area.
Stories Calendar,💇 Products,weekly,Story,story-editorial,1080x1920 story,Product,Scissors icon,Product education,,,,,weekly-story-scissors-icon,Top 250px and bottom 280px safe zones; one message per frame; reserve link/poll sticker area.
Stories Calendar,⭐ Reviews,weekly,Story,story-editorial,1080x1920 story,Customer,Star icon,Build social proof,,,,,weekly-story-star-icon,Top 250px and bottom 280px safe zones; one message per frame; reserve link/poll sticker area.
Stories Calendar,📚 Guides,weekly,Story,story-editorial,1080x1920 story,How to to,Book icon,Educational resource,,,,,weekly-story-book-icon,Top 250px and bottom 280px safe zones; one message per frame; reserve link/poll sticker area.
Stories Calendar,🔥 Results,weekly,Story,story-editorial,1080x1920 story,Before/after,Fire icon,Conversion driver,,,,,weekly-story-fire-icon,Top 250px and bottom 280px safe zones; one message per frame; reserve link/poll sticker area.
Stories Calendar,❓ FAQ,weekly,Story,story-editorial,1080x1920 story,Frequently,Question icon,Reduce friction,,,,,weekly-story-question-icon,Top 250px and bottom 280px safe zones; one message per frame; reserve link/poll sticker area.
Stories Calendar,🏷️ Offers,weekly,Story,story-editorial,1080x1920 story,Current,Tag icon,Drive purchases,,,,,weekly-story-tag-icon,Top 250px and bottom 280px safe zones; one message per frame; reserve link/poll sticker area.
Stories Calendar,📍 About Us,weekly,Story,story-editorial,1080x1920 story,Founder,Pin icon,Trust building,,,,,weekly-story-pin-icon,Top 250px and bottom 280px safe zones; one message per frame; reserve link/poll sticker area.
